heldout_model_type,method,budget,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,new_model_selection_rate,training_time_s
cheap_local,uniform_route_state_calibration,80,0.6723237120138991,0.7906976744186046,0.0,80.0,0.02131782945736434,0.0
cheap_local,random_query_route_state_calibration,80,0.6667621297085428,0.7790697674418604,0.0055615823053563425,80.0,0.05232558139534884,0.0
cheap_local,dataset_stratified_calibration,80,0.6547843040729998,0.7635658914728682,0.009689922480620136,80.0,0.03875968992248062,0.0
cheap_local,embedding_cluster_calibration,80,0.6034821117603808,0.75,0.0,80.0,0.0,0.0
cheap_local,calibration_aware_route_state,160,0.7327525004582287,0.7713178294573644,0.006777025700399768,160.0,0.10658914728682171,0.0
cheap_local,direct_probe_regressor_retrain,160,0.6734079698165596,0.7344961240310077,-0.003781758548125865,160.0,0.06395348837209303,0.033706321999488864
cheap_local,active_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.04263565891472868,0.0
cheap_local,random_query_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.02131782945736434,0.0
cheap_local,uniform_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.02131782945736434,0.0
cheap_local,dataset_stratified_calibration,160,0.6547843040729998,0.7635658914728682,0.009689922480620136,160.0,0.03875968992248062,0.0
cheap_local,embedding_cluster_calibration,160,0.590982834070399,0.7112403100775193,0.012499277689981861,160.0,0.10077519379844961,0.0
cheap_local,calibration_aware_route_state,320,0.7395295261586284,0.7790697674418605,0.0,320.0,0.0,0.0
cheap_local,direct_probe_regressor_retrain,320,0.673317815120534,0.7344961240310077,-0.0036916038521001373,320.0,0.060077519379844964,0.034727747333818115
cheap_local,active_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.04263565891472868,0.0
cheap_local,random_query_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.02131782945736434,0.0
cheap_local,uniform_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.02131782945736434,0.0
cheap_local,dataset_stratified_calibration,320,0.66447422655362,0.7732558139534884,0.0,320.0,0.0,0.0
cheap_local,embedding_cluster_calibration,320,0.6034821117603808,0.75,0.0,320.0,0.0,0.0
cheap_local,calibration_aware_route_state,640,0.7395295261586284,0.7790697674418605,0.0,492.0,0.0,0.0
cheap_local,active_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,492.0,0.0,0.0
cheap_local,random_query_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,492.0,0.0,0.0
cheap_local,uniform_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,492.0,0.0,0.0
cheap_local,dataset_stratified_calibration,640,0.66447422655362,0.7732558139534884,0.0,492.0,0.0,0.0
cheap_local,direct_probe_regressor_retrain,640,0.6636797769356672,0.7267441860465116,0.005946434332766648,516.0,0.05813953488372093,0.03559134500149715
cheap_local,embedding_cluster_calibration,640,0.6034821117603808,0.75,0.0,492.0,0.0,0.0
frontier,calibration_aware_route_state,20,0.6785647413911604,0.7622739018087855,0.06096478476746799,20.0,0.2441860465116279,0.0
frontier,uniform_route_state_calibration,20,0.653673928687947,0.7629198966408269,0.018649783325952005,20.0,0.23320413436692503,0.0
frontier,direct_probe_regressor_retrain,20,0.6531772851103688,0.7222222222222222,0.010502491825298376,20.0,0.14018087855297157,0.034740023665815696
frontier,random_query_route_state_calibration,20,0.6494322811999681,0.7596899224806202,0.02289143081393097,20.0,0.1718346253229974,0.0
frontier,active_route_state_calibration,20,0.6408954269543947,0.7571059431524547,0.03142828505950436,20.0,0.22868217054263568,0.0
frontier,dataset_stratified_calibration,20,0.6157669256116574,0.727390180878553,0.04870730094196263,20.0,0.31782945736434104,0.0
frontier,embedding_cluster_calibration,20,0.5774854578353691,0.7209302325581395,0.02599665392501169,20.0,0.23449612403100778,0.0
frontier,calibration_aware_route_state,40,0.6802967631619938,0.7603359173126615,0.059232762996634665,40.0,0.24741602067183463,0.0
frontier,uniform_route_state_calibration,40,0.6788458105568971,0.7771317829457364,-0.006522098542998061,40.0,0.14857881136950904,0.0
frontier,random_query_route_state_calibration,40,0.6777137687357502,0.7680878552971576,-0.005390056721851099,40.0,0.2028423772609819,0.0
